query_id,relevant_docIDs
1,761 1071 1127 826
2,980 144 982 1353
3,944 163 164 982
4,1015
5,1282 267 268 269
6,949 1010 1009
7,33 270 34 297
8,367
9,832 1088
10,1235 72
11,480 344 773 560
12,1149 72 104 170
13,516 792 76 904
14,588 576 589 578
15,523 1377 1390 1151
16,1110 423 1231 414
17,1159
18,1191 272 1040 675
19,126 1040 409 89
20,363 452 927 1271
21,691 635
22,1158 1204 1248 232
23,857 859 858 766
24,1129 1070 1132 1133
25,22
26,720
27,100 658
28,382 852 433 1038
29,1019 1016
30,133 1235 212 1210
31,1254
32,718
33,764
34,916 919 699 704
35,347 1230 1040 564
36,58 688 1204 1218
37,702 701 699 779
38,1115 441 916 792
39,514 1104 124
40,667 317 329 689
41,108 499
42,405
43,1314 1156
44,214 426 216 237
45,918 779 919 699
46,135 7 1244 257
47,1005 814 572 987
48,682
49,1285 1306 1307 814
50,1166 1144 1167
51,180 332
52,786 788 787 567
53,429
54,355 259 1185 645
55,343 344 339 480
56,678 797 247 792
57,35 329 369 28
58,456 110 517 574
59,739 627 14 686
60,763 391 839 838
61,368 792
62,185 244 529 645
63,663
64,50 375 55 611
65,154
66,443 204 205
67,221
68,1303
69,387
70,1266 624 1201 1239
71,943 976 1061 171
72,188 179 600
73,669 771 1098
74,888 1178 1070 1051
75,935 1043 931 936
76,1400 1396 1397 1398
77,402 71 1181 1248
78,273
79,559 54 82 689
80,440 526
81,4 2 3 9
82,1292 692 693 694
83,1125 1175
84,95 6 872 30
85,873 396 163 872
86,460 1361
87,315 526 798 610
88,101 646 166 1226
89,127 1292 276 282
90,1281 1184 315 1368
91,735 733 641 647
92,1179 1151 225 273
93,16
94,69 1157 1299 815
95,134 329 187 1395
96,1073
97,819
98,223
99,208 1221 967 488
100,915
